field parcel,full crop loss scaled,partial crop loss scaled,partial path
0820318084-A,0.0,0.0,dataset1/0820318084-A_BANDS-S2-L1C.tiff
1640047809-A,0.0,0.0,dataset1/1640047809-A_BANDS-S2-L1C.tiff
0950172287-A,0.0,0.0,dataset1/0950172287-A_BANDS-S2-L1C.tiff
0090250113-A,0.0,0.0,dataset1/0090250113-A_BANDS-S2-L1C.tiff
0090475637-A,0.0,0.0,dataset1/0090475637-A_BANDS-S2-L1C.tiff
0040434246-A,0.0,0.0,dataset1/0040434246-A_BANDS-S2-L1C.tiff
0060111607-A,0.0,0.0,dataset1/0060111607-A_BANDS-S2-L1C.tiff
0990121032-A,0.0,0.0,dataset1/0990121032-A_BANDS-S2-L1C.tiff
9260312033-C,0.9357326478149101,0.06426735218508997,dataset1/9260312033-C_BANDS-S2-L1C.tiff
0090247281-A,0.0,0.0,dataset1/0090247281-A_BANDS-S2-L1C.tiff
0090247483-A,0.0,0.0,dataset1/0090247483-A_BANDS-S2-L1C.tiff
0090248089-A,0.0,0.0,dataset1/0090248089-A_BANDS-S2-L1C.tiff
0090248594-A,0.0,0.0,dataset1/0090248594-A_BANDS-S2-L1C.tiff
0090248800-A,0.0,0.0,dataset1/0090248800-A_BANDS-S2-L1C.tiff
0050685328-A,0.746268656716418,0.2537313432835821,dataset1/0050685328-A_BANDS-S2-L1C.tiff
1020287224-A,0.0,0.0,dataset1/1020287224-A_BANDS-S2-L1C.tiff
0690217947-A,0.0,0.0,dataset1/0690217947-A_BANDS-S2-L1C.tiff
0690400934-A,0.0,0.0,dataset1/0690400934-A_BANDS-S2-L1C.tiff
0690479342-A,0.0,0.0,dataset1/0690479342-A_BANDS-S2-L1C.tiff
1520251391-A,0.0,0.0,dataset1/1520251391-A_BANDS-S2-L1C.tiff
1450107055-A,0.0,0.0,dataset1/1450107055-A_BANDS-S2-L1C.tiff
1450838494-A,0.0,0.0,dataset1/1450838494-A_BANDS-S2-L1C.tiff
1456044465-A,0.0,0.0,dataset1/1456044465-A_BANDS-S2-L1C.tiff
6260375047-A,1.0,0.0,dataset1/6260375047-A_BANDS-S2-L1C.tiff
6260398386-A,1.0,0.0,dataset1/6260398386-A_BANDS-S2-L1C.tiff
6260494780-A,1.0,0.0,dataset1/6260494780-A_BANDS-S2-L1C.tiff
5630179888-A,0.0,1.0,dataset1/5630179888-A_BANDS-S2-L1C.tiff
5630415722-A,0.0,1.0,dataset1/5630415722-A_BANDS-S2-L1C.tiff
0710410115-A,0.0,0.0,dataset1/0710410115-A_BANDS-S2-L1C.tiff
0710564204-A,0.0,0.0,dataset1/0710564204-A_BANDS-S2-L1C.tiff
0710683937-A,0.0,0.0,dataset1/0710683937-A_BANDS-S2-L1C.tiff
1401018284-A,0.0,0.0,dataset1/1401018284-A_BANDS-S2-L1C.tiff
0170010280-A,0.0,0.0,dataset1/0170010280-A_BANDS-S2-L1C.tiff
1456184309-A,0.0,0.0,dataset1/1456184309-A_BANDS-S2-L1C.tiff
0740160520-A,0.0,0.0,dataset1/0740160520-A_BANDS-S2-L1C.tiff
0740230036-A,0.0,0.0,dataset1/0740230036-A_BANDS-S2-L1C.tiff
0820118428-A,0.0,0.0,dataset1/0820118428-A_BANDS-S2-L1C.tiff
0820126310-A,0.0,0.0,dataset1/0820126310-A_BANDS-S2-L1C.tiff
0510015589-A,0.0,0.0,dataset1/0510015589-A_BANDS-S2-L1C.tiff
0520483509-A,0.0,0.0,dataset1/0520483509-A_BANDS-S2-L1C.tiff
1520179350-A,0.0,0.0,dataset1/1520179350-A_BANDS-S2-L1C.tiff
0190000667-A,0.0,0.0,dataset1/0190000667-A_BANDS-S2-L1C.tiff
4800081776-A,0.0,1.0,dataset1/4800081776-A_BANDS-S2-L1C.tiff
0500273153-A,0.0,0.0,dataset1/0500273153-A_BANDS-S2-L1C.tiff
0710007967-A,0.0,0.0,dataset1/0710007967-A_BANDS-S2-L1C.tiff
0710271079-A,0.0,0.0,dataset1/0710271079-A_BANDS-S2-L1C.tiff
0710271281-A,0.0,0.0,dataset1/0710271281-A_BANDS-S2-L1C.tiff
0790086925-A,0.0,0.0,dataset1/0790086925-A_BANDS-S2-L1C.tiff
0790103695-A,0.0,0.0,dataset1/0790103695-A_BANDS-S2-L1C.tiff
1430005221-A,0.0,0.0,dataset1/1430005221-A_BANDS-S2-L1C.tiff
1430753636-A,0.0,0.0,dataset1/1430753636-A_BANDS-S2-L1C.tiff
0100471687-A,0.0,0.0,dataset1/0100471687-A_BANDS-S2-L1C.tiff
0440453253-A,0.0,0.0,dataset1/0440453253-A_BANDS-S2-L1C.tiff
1430196086-A,0.0,0.0,dataset1/1430196086-A_BANDS-S2-L1C.tiff
1430758383-A,0.0,0.0,dataset1/1430758383-A_BANDS-S2-L1C.tiff
4210059169-A,0.0,1.0,dataset1/4210059169-A_BANDS-S2-L1C.tiff
1490106320-A,0.0,0.0,dataset1/1490106320-A_BANDS-S2-L1C.tiff
1420498211-A,0.0,0.0,dataset1/1420498211-A_BANDS-S2-L1C.tiff
3170174208-A,0.0,1.0,dataset1/3170174208-A_BANDS-S2-L1C.tiff
3170174309-A,0.0,1.0,dataset1/3170174309-A_BANDS-S2-L1C.tiff
1456134900-A,0.0,0.0,dataset1/1456134900-A_BANDS-S2-L1C.tiff
0440545809-D,0.0,0.0,dataset1/0440545809-D_BANDS-S2-L1C.tiff
1080143092-A,0.0,0.0,dataset1/1080143092-A_BANDS-S2-L1C.tiff
1080214935-A,0.0,0.0,dataset1/1080214935-A_BANDS-S2-L1C.tiff
0150260272-A,0.0,0.0,dataset1/0150260272-A_BANDS-S2-L1C.tiff
1080114905-A,0.0,0.0,dataset1/1080114905-A_BANDS-S2-L1C.tiff
1520540169-A,0.0,0.0,dataset1/1520540169-A_BANDS-S2-L1C.tiff
0830123572-A,0.0,0.0,dataset1/0830123572-A_BANDS-S2-L1C.tiff
0830448625-B,0.0,0.0,dataset1/0830448625-B_BANDS-S2-L1C.tiff
0100395606-A,0.0,0.0,dataset1/0100395606-A_BANDS-S2-L1C.tiff
1520324345-A,0.0,0.0,dataset1/1520324345-A_BANDS-S2-L1C.tiff
1521114085-A,0.0,0.0,dataset1/1521114085-A_BANDS-S2-L1C.tiff
1520069923-A,0.0,0.0,dataset1/1520069923-A_BANDS-S2-L1C.tiff
1520521577-A,0.0,0.0,dataset1/1520521577-A_BANDS-S2-L1C.tiff
0710591179-D,0.0,0.0,dataset1/0710591179-D_BANDS-S2-L1C.tiff
0510096728-A,0.0,0.0,dataset1/0510096728-A_BANDS-S2-L1C.tiff
0510358729-A,0.0,0.0,dataset1/0510358729-A_BANDS-S2-L1C.tiff
0060090082-A,0.0,0.0,dataset1/0060090082-A_BANDS-S2-L1C.tiff
1520137520-A,0.0,0.0,dataset1/1520137520-A_BANDS-S2-L1C.tiff
1450335613-A,0.0,0.0,dataset1/1450335613-A_BANDS-S2-L1C.tiff
0770256384-A,0.0,0.0,dataset1/0770256384-A_BANDS-S2-L1C.tiff
0060104634-B,0.0,0.0,dataset1/0060104634-B_BANDS-S2-L1C.tiff
0610392304-A,0.0,0.0,dataset1/0610392304-A_BANDS-S2-L1C.tiff
1420006844-A,0.0,0.0,dataset1/1420006844-A_BANDS-S2-L1C.tiff
1520027180-A,0.0,0.0,dataset1/1520027180-A_BANDS-S2-L1C.tiff
1520444987-A,0.0,0.0,dataset1/1520444987-A_BANDS-S2-L1C.tiff
1520544516-A,0.0,0.0,dataset1/1520544516-A_BANDS-S2-L1C.tiff
1521019715-A,0.0,0.0,dataset1/1521019715-A_BANDS-S2-L1C.tiff
1090031638-A,0.0,0.0,dataset1/1090031638-A_BANDS-S2-L1C.tiff
6310176261-A,0.09090909090909091,0.9090909090909091,dataset1/6310176261-A_BANDS-S2-L1C.tiff
1400043638-D,0.0,0.0,dataset1/1400043638-D_BANDS-S2-L1C.tiff
0600054831-A,0.0,0.0,dataset1/0600054831-A_BANDS-S2-L1C.tiff
0090180290-A,0.0,0.0,dataset1/0090180290-A_BANDS-S2-L1C.tiff
0090313363-A,0.0,0.0,dataset1/0090313363-A_BANDS-S2-L1C.tiff
0090313464-A,0.0,0.0,dataset1/0090313464-A_BANDS-S2-L1C.tiff
1450217088-B,0.0,0.0,dataset1/1450217088-B_BANDS-S2-L1C.tiff
8850215130-A,0.0,1.0,dataset1/8850215130-A_BANDS-S2-L1C.tiff
7610151669-A,0.0,1.0,dataset1/7610151669-A_BANDS-S2-L1C.tiff
1450036731-A,0.09287925696594428,0.15479876160990713,dataset1/1450036731-A_BANDS-S2-L1C.tiff
0790125422-A,0.0,0.0,dataset1/0790125422-A_BANDS-S2-L1C.tiff
1456187238-A,0.0,0.0,dataset1/1456187238-A_BANDS-S2-L1C.tiff
0090151901-A,0.0,0.0,dataset1/0090151901-A_BANDS-S2-L1C.tiff
0090152709-A,0.0,0.0,dataset1/0090152709-A_BANDS-S2-L1C.tiff
0731315736-C,0.0,0.0,dataset1/0731315736-C_BANDS-S2-L1C.tiff
0990346960-A,0.0,0.0,dataset1/0990346960-A_BANDS-S2-L1C.tiff
1030143232-A,0.0,0.0,dataset1/1030143232-A_BANDS-S2-L1C.tiff
1450664403-A,0.0,0.0,dataset1/1450664403-A_BANDS-S2-L1C.tiff
0090002458-A,0.0,0.0,dataset1/0090002458-A_BANDS-S2-L1C.tiff
1400278660-A,0.0,0.0,dataset1/1400278660-A_BANDS-S2-L1C.tiff
0060111809-A,0.0,0.0,dataset1/0060111809-A_BANDS-S2-L1C.tiff
0860176903-A,0.0,0.0,dataset1/0860176903-A_BANDS-S2-L1C.tiff
1450287012-A,0.0,0.0,dataset1/1450287012-A_BANDS-S2-L1C.tiff
1510145914-A,0.0,0.0,dataset1/1510145914-A_BANDS-S2-L1C.tiff
1520044661-A,0.0,0.0,dataset1/1520044661-A_BANDS-S2-L1C.tiff
1520002831-A,0.0,0.0,dataset1/1520002831-A_BANDS-S2-L1C.tiff
1520002932-A,0.0,0.0,dataset1/1520002932-A_BANDS-S2-L1C.tiff
3170415492-A,0.9363295880149812,0.06367041198501873,dataset1/3170415492-A_BANDS-S2-L1C.tiff
1450923774-A,0.0,0.0,dataset1/1450923774-A_BANDS-S2-L1C.tiff
1030015213-A,0.0,0.0,dataset1/1030015213-A_BANDS-S2-L1C.tiff
1020253474-A,0.0,0.0,dataset1/1020253474-A_BANDS-S2-L1C.tiff
3080172655-A,1.0,0.0,dataset1/3080172655-A_BANDS-S2-L1C.tiff
0830237144-A,0.0,0.0,dataset1/0830237144-A_BANDS-S2-L1C.tiff
1450868911-A,0.0,0.0,dataset1/1450868911-A_BANDS-S2-L1C.tiff
1640006177-A,0.0,0.0,dataset1/1640006177-A_BANDS-S2-L1C.tiff
0090000438-A,0.0,0.0,dataset1/0090000438-A_BANDS-S2-L1C.tiff
0090000539-A,0.0,0.0,dataset1/0090000539-A_BANDS-S2-L1C.tiff
0090001044-A,0.0,0.0,dataset1/0090001044-A_BANDS-S2-L1C.tiff
5010091224-A,0.625,0.375,dataset1/5010091224-A_BANDS-S2-L1C.tiff
0710133259-A,0.0,1.0,dataset1/0710133259-A_BANDS-S2-L1C.tiff
3170382958-A,0.2183406113537118,0.7816593886462883,dataset1/3170382958-A_BANDS-S2-L1C.tiff
3170383059-A,0.0,1.0,dataset1/3170383059-A_BANDS-S2-L1C.tiff
1060173321-A,0.0,0.0,dataset1/1060173321-A_BANDS-S2-L1C.tiff
1060173422-A,0.0,0.0,dataset1/1060173422-A_BANDS-S2-L1C.tiff
1520190363-A,0.0,0.0,dataset1/1520190363-A_BANDS-S2-L1C.tiff
1450293375-A,0.0,0.0,dataset1/1450293375-A_BANDS-S2-L1C.tiff
1450293577-A,0.0,0.0,dataset1/1450293577-A_BANDS-S2-L1C.tiff
1450690671-A,0.0,0.0,dataset1/1450690671-A_BANDS-S2-L1C.tiff
1456031028-A,0.0,0.0,dataset1/1456031028-A_BANDS-S2-L1C.tiff
0860417884-A,0.0,0.0,dataset1/0860417884-A_BANDS-S2-L1C.tiff
0770271340-A,0.0,0.0,dataset1/0770271340-A_BANDS-S2-L1C.tiff
1430327846-A,0.0,0.0,dataset1/1430327846-A_BANDS-S2-L1C.tiff
1080189370-A,0.0,0.0,dataset1/1080189370-A_BANDS-S2-L1C.tiff
0860231564-A,0.0,0.0,dataset1/0860231564-A_BANDS-S2-L1C.tiff
0060616310-A,0.0,0.0,dataset1/0060616310-A_BANDS-S2-L1C.tiff
2560217491-A,1.0,0.0,dataset1/2560217491-A_BANDS-S2-L1C.tiff
0040729387-A,0.0,0.0,dataset1/0040729387-A_BANDS-S2-L1C.tiff
1020154151-B,0.0,0.0,dataset1/1020154151-B_BANDS-S2-L1C.tiff
1020173652-A,0.0,0.0,dataset1/1020173652-A_BANDS-S2-L1C.tiff
1020597725-A,0.0,0.0,dataset1/1020597725-A_BANDS-S2-L1C.tiff
1520137015-A,0.0,0.0,dataset1/1520137015-A_BANDS-S2-L1C.tiff
1521088625-A,0.0,0.0,dataset1/1521088625-A_BANDS-S2-L1C.tiff
9160022622-A,0.38022813688212925,0.6197718631178707,dataset1/9160022622-A_BANDS-S2-L1C.tiff
9160272701-A,1.0,0.0,dataset1/9160272701-A_BANDS-S2-L1C.tiff
1020446262-A,0.0,0.0,dataset1/1020446262-A_BANDS-S2-L1C.tiff
0510228787-A,0.0,0.0,dataset1/0510228787-A_BANDS-S2-L1C.tiff
1450770089-A,0.0,0.0,dataset1/1450770089-A_BANDS-S2-L1C.tiff
1450381079-A,0.0,0.0,dataset1/1450381079-A_BANDS-S2-L1C.tiff
1450381786-A,0.0,0.0,dataset1/1450381786-A_BANDS-S2-L1C.tiff
1450381887-A,0.0,0.0,dataset1/1450381887-A_BANDS-S2-L1C.tiff
1450730481-A,0.0,0.0,dataset1/1450730481-A_BANDS-S2-L1C.tiff
0500253652-A,0.0,0.0,dataset1/0500253652-A_BANDS-S2-L1C.tiff
0500227582-A,0.0,0.0,dataset1/0500227582-A_BANDS-S2-L1C.tiff
1450128576-A,0.0,0.0,dataset1/1450128576-A_BANDS-S2-L1C.tiff
9260109949-A,1.0,0.0,dataset1/9260109949-A_BANDS-S2-L1C.tiff
1430610257-A,0.0,0.0,dataset1/1430610257-A_BANDS-S2-L1C.tiff
1450101193-B,0.0,0.0,dataset1/1450101193-B_BANDS-S2-L1C.tiff
6360430042-A,1.0,0.0,dataset1/6360430042-A_BANDS-S2-L1C.tiff
8530046321-A,1.0,0.0,dataset1/8530046321-A_BANDS-S2-L1C.tiff
1020007237-A,0.0,0.0,dataset1/1020007237-A_BANDS-S2-L1C.tiff
1520313029-A,0.0,0.0,dataset1/1520313029-A_BANDS-S2-L1C.tiff
1020169814-A,0.0,0.0,dataset1/1020169814-A_BANDS-S2-L1C.tiff
1430140516-A,0.0,0.0,dataset1/1430140516-A_BANDS-S2-L1C.tiff
1430140718-A,0.0,0.0,dataset1/1430140718-A_BANDS-S2-L1C.tiff
1430259340-A,0.0,0.0,dataset1/1430259340-A_BANDS-S2-L1C.tiff
1430310971-C,0.0,0.0,dataset1/1430310971-C_BANDS-S2-L1C.tiff
0730343615-A,0.0,0.0,dataset1/0730343615-A_BANDS-S2-L1C.tiff
0730344221-A,0.0,0.0,dataset1/0730344221-A_BANDS-S2-L1C.tiff
0040428485-A,0.0,0.0,dataset1/0040428485-A_BANDS-S2-L1C.tiff
8590085984-C,0.0,1.0,dataset1/8590085984-C_BANDS-S2-L1C.tiff
8590086691-A,0.33444816053511706,0.6655518394648829,dataset1/8590086691-A_BANDS-S2-L1C.tiff
0100151890-A,0.0,0.0,dataset1/0100151890-A_BANDS-S2-L1C.tiff
0100196451-A,0.0,0.0,dataset1/0100196451-A_BANDS-S2-L1C.tiff
9260041039-A,0.0,1.0,dataset1/9260041039-A_BANDS-S2-L1C.tiff
9260212104-A,0.036101083032490974,0.9638989169675091,dataset1/9260212104-A_BANDS-S2-L1C.tiff
0740012895-A,0.0,0.0,dataset1/0740012895-A_BANDS-S2-L1C.tiff
0740059072-A,0.0,0.0,dataset1/0740059072-A_BANDS-S2-L1C.tiff
0690002830-A,0.0,0.0,dataset1/0690002830-A_BANDS-S2-L1C.tiff
0450113039-A,0.0,0.0,dataset1/0450113039-A_BANDS-S2-L1C.tiff
1460010149-A,0.0,0.0,dataset1/1460010149-A_BANDS-S2-L1C.tiff
0040798806-A,0.0,0.0,dataset1/0040798806-A_BANDS-S2-L1C.tiff
4020403254-A,1.0,0.0,dataset1/4020403254-A_BANDS-S2-L1C.tiff
4080114535-B,0.0,1.0,dataset1/4080114535-B_BANDS-S2-L1C.tiff
1640037604-A,0.0,0.0,dataset1/1640037604-A_BANDS-S2-L1C.tiff
0860290269-A,0.0,0.0,dataset1/0860290269-A_BANDS-S2-L1C.tiff
7080002415-A,0.0,1.0,dataset1/7080002415-A_BANDS-S2-L1C.tiff
4360090685-A,0.0,0.6329113924050633,dataset1/4360090685-A_BANDS-S2-L1C.tiff
6910487033-A,0.8427672955974843,0.0,dataset1/6910487033-A_BANDS-S2-L1C.tiff
0050113230-A,0.0,0.0,dataset1/0050113230-A_BANDS-S2-L1C.tiff
0050114543-A,0.0,0.0,dataset1/0050114543-A_BANDS-S2-L1C.tiff
0050555285-C,0.0,0.0,dataset1/0050555285-C_BANDS-S2-L1C.tiff
0180127885-A,0.0,0.0,dataset1/0180127885-A_BANDS-S2-L1C.tiff
9440071625-A,1.0,0.0,dataset1/9440071625-A_BANDS-S2-L1C.tiff
1450087655-A,0.0,0.0,dataset1/1450087655-A_BANDS-S2-L1C.tiff
1520002326-A,0.0,0.0,dataset1/1520002326-A_BANDS-S2-L1C.tiff
0090117242-A,0.0,0.0,dataset1/0090117242-A_BANDS-S2-L1C.tiff
0690223910-A,0.0,0.0,dataset1/0690223910-A_BANDS-S2-L1C.tiff
0610128077-A,1.0,0.0,dataset1/0610128077-A_BANDS-S2-L1C.tiff
0610128279-A,1.0,0.0,dataset1/0610128279-A_BANDS-S2-L1C.tiff
0610128683-A,0.0,1.0,dataset1/0610128683-A_BANDS-S2-L1C.tiff
1640061145-A,0.0,0.0,dataset1/1640061145-A_BANDS-S2-L1C.tiff
0180110206-A,0.0,0.0,dataset1/0180110206-A_BANDS-S2-L1C.tiff
0050311169-A,0.0,0.0,dataset1/0050311169-A_BANDS-S2-L1C.tiff
0050314102-A,0.0,0.0,dataset1/0050314102-A_BANDS-S2-L1C.tiff
0050494459-A,0.0,0.0,dataset1/0050494459-A_BANDS-S2-L1C.tiff
0050714529-A,0.0,0.0,dataset1/0050714529-A_BANDS-S2-L1C.tiff
1420393834-A,0.0,0.0,dataset1/1420393834-A_BANDS-S2-L1C.tiff
0100429756-A,0.0,0.0,dataset1/0100429756-A_BANDS-S2-L1C.tiff
1430424240-B,0.0,0.0,dataset1/1430424240-B_BANDS-S2-L1C.tiff
1430467686-A,0.0,0.0,dataset1/1430467686-A_BANDS-S2-L1C.tiff
1430501234-A,0.0,0.0,dataset1/1430501234-A_BANDS-S2-L1C.tiff
6260185390-A,0.092,0.908,dataset1/6260185390-A_BANDS-S2-L1C.tiff
6260185794-A,0.8221574344023324,0.17784256559766765,dataset1/6260185794-A_BANDS-S2-L1C.tiff
2970202745-A,1.0,0.0,dataset1/2970202745-A_BANDS-S2-L1C.tiff
0820089328-A,0.0,0.0,dataset1/0820089328-A_BANDS-S2-L1C.tiff
0820339710-A,0.0,0.0,dataset1/0820339710-A_BANDS-S2-L1C.tiff
0100010636-A,0.0,0.0,dataset1/0100010636-A_BANDS-S2-L1C.tiff
1520459741-A,0.0,0.0,dataset1/1520459741-A_BANDS-S2-L1C.tiff
1520445900-A,0.0,0.0,dataset1/1520445900-A_BANDS-S2-L1C.tiff
1520446102-A,0.0,0.0,dataset1/1520446102-A_BANDS-S2-L1C.tiff
0050001981-A,0.0,0.0,dataset1/0050001981-A_BANDS-S2-L1C.tiff
0500358938-A,0.0,0.0,dataset1/0500358938-A_BANDS-S2-L1C.tiff
5950098218-A,0.0,1.0,dataset1/5950098218-A_BANDS-S2-L1C.tiff
5950099430-A,1.0,0.0,dataset1/5950099430-A_BANDS-S2-L1C.tiff
5950203504-A,0.4945054945054945,0.0,dataset1/5950203504-A_BANDS-S2-L1C.tiff
5950542596-A,0.0,1.0,dataset1/5950542596-A_BANDS-S2-L1C.tiff
1520491568-B,0.0,0.0,dataset1/1520491568-B_BANDS-S2-L1C.tiff
1520553004-B,0.0,0.0,dataset1/1520553004-B_BANDS-S2-L1C.tiff
0690145296-A,0.0,0.0,dataset1/0690145296-A_BANDS-S2-L1C.tiff
7610362645-A,1.0,0.0,dataset1/7610362645-A_BANDS-S2-L1C.tiff
0490133825-A,0.0,0.0,dataset1/0490133825-A_BANDS-S2-L1C.tiff
1450429074-A,0.0,0.0,dataset1/1450429074-A_BANDS-S2-L1C.tiff
1450429478-A,0.0,0.0,dataset1/1450429478-A_BANDS-S2-L1C.tiff
0090007411-A,0.0,0.0,dataset1/0090007411-A_BANDS-S2-L1C.tiff
0090007512-A,0.0,0.0,dataset1/0090007512-A_BANDS-S2-L1C.tiff
0790081568-A,0.0,0.0,dataset1/0790081568-A_BANDS-S2-L1C.tiff
2520003416-A,1.0,0.0,dataset1/2520003416-A_BANDS-S2-L1C.tiff
9120134202-B,0.23148148148148148,0.18518518518518517,dataset1/9120134202-B_BANDS-S2-L1C.tiff
1450104429-A,0.0,0.0,dataset1/1450104429-A_BANDS-S2-L1C.tiff
1450262659-A,0.0,0.0,dataset1/1450262659-A_BANDS-S2-L1C.tiff
1450277615-A,0.0,0.0,dataset1/1450277615-A_BANDS-S2-L1C.tiff
0050727259-A,0.0,0.0,dataset1/0050727259-A_BANDS-S2-L1C.tiff
0610005617-A,0.0,0.0,dataset1/0610005617-A_BANDS-S2-L1C.tiff
0610404529-A,0.0,0.0,dataset1/0610404529-A_BANDS-S2-L1C.tiff
0040810021-A,0.0,0.0,dataset1/0040810021-A_BANDS-S2-L1C.tiff
0710687674-A,0.0,0.0,dataset1/0710687674-A_BANDS-S2-L1C.tiff
1450337734-A,0.0,0.0,dataset1/1450337734-A_BANDS-S2-L1C.tiff
0500331555-A,0.0,0.0,dataset1/0500331555-A_BANDS-S2-L1C.tiff
0500468062-A,0.0,0.0,dataset1/0500468062-A_BANDS-S2-L1C.tiff
7080069608-A,0.0,1.0,dataset1/7080069608-A_BANDS-S2-L1C.tiff
7080070012-A,0.0,1.0,dataset1/7080070012-A_BANDS-S2-L1C.tiff
7080565318-A,0.0,1.0,dataset1/7080565318-A_BANDS-S2-L1C.tiff
7080610784-A,0.0,1.0,dataset1/7080610784-A_BANDS-S2-L1C.tiff
0990408796-A,0.0,0.0,dataset1/0990408796-A_BANDS-S2-L1C.tiff
0950012340-A,0.0,0.0,dataset1/0950012340-A_BANDS-S2-L1C.tiff
5630188679-A,0.25,0.75,dataset1/5630188679-A_BANDS-S2-L1C.tiff
5630348024-A,1.0,0.0,dataset1/5630348024-A_BANDS-S2-L1C.tiff
5630465535-A,0.0,1.0,dataset1/5630465535-A_BANDS-S2-L1C.tiff
0150203486-A,0.0,0.0,dataset1/0150203486-A_BANDS-S2-L1C.tiff
0150247845-A,0.0,0.0,dataset1/0150247845-A_BANDS-S2-L1C.tiff
0740133137-A,0.4032258064516129,0.5967741935483871,dataset1/0740133137-A_BANDS-S2-L1C.tiff
0690220674-A,0.5028735632183908,0.49712643678160917,dataset1/0690220674-A_BANDS-S2-L1C.tiff
4290350719-A,0.0,1.0,dataset1/4290350719-A_BANDS-S2-L1C.tiff
0100574044-A,0.0,0.0,dataset1/0100574044-A_BANDS-S2-L1C.tiff
0100574145-A,0.0,0.0,dataset1/0100574145-A_BANDS-S2-L1C.tiff
1020244582-A,0.0,0.0,dataset1/1020244582-A_BANDS-S2-L1C.tiff
1020451518-A,0.0,0.0,dataset1/1020451518-A_BANDS-S2-L1C.tiff
0150180854-A,0.0,0.0,dataset1/0150180854-A_BANDS-S2-L1C.tiff
0060280042-A,0.0,0.0,dataset1/0060280042-A_BANDS-S2-L1C.tiff
4940063486-A,1.0,0.0,dataset1/4940063486-A_BANDS-S2-L1C.tiff
1450089372-A,0.0,0.0,dataset1/1450089372-A_BANDS-S2-L1C.tiff
1450699866-A,0.0,0.0,dataset1/1450699866-A_BANDS-S2-L1C.tiff
1510088623-A,0.0,0.0,dataset1/1510088623-A_BANDS-S2-L1C.tiff
1510088825-A,0.0,0.0,dataset1/1510088825-A_BANDS-S2-L1C.tiff
0600062915-A,0.0,0.0,dataset1/0600062915-A_BANDS-S2-L1C.tiff
5350059349-A,0.7938144329896907,0.20618556701030927,dataset1/5350059349-A_BANDS-S2-L1C.tiff
0690057996-A,0.0,0.0,dataset1/0690057996-A_BANDS-S2-L1C.tiff
0500315690-A,0.0,0.0,dataset1/0500315690-A_BANDS-S2-L1C.tiff
1400763559-A,0.0,0.0,dataset1/1400763559-A_BANDS-S2-L1C.tiff
0710208031-A,0.0,0.0,dataset1/0710208031-A_BANDS-S2-L1C.tiff
0090163116-A,0.0,0.0,dataset1/0090163116-A_BANDS-S2-L1C.tiff
0690137115-A,0.0,0.0,dataset1/0690137115-A_BANDS-S2-L1C.tiff
1520262913-A,0.0,0.0,dataset1/1520262913-A_BANDS-S2-L1C.tiff
